record_id,target_id,latitude,longitude,crs,feature_type,source,source_page,source_date,coordinate_accuracy_m,derivation_method,confidence,field_action,license,created_at,pipeline_version,label,area
T2-OVERVIEW-05,T2,30.044,-115.247,EPSG:4326,sed,Esri World Imagery tile service (research use),t2_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair - mass catchment,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P5 arroyo below mass,T2 PIN MAP
T2-OVERVIEW-06,T2,30.044,-115.233,EPSG:4326,out,Esri World Imagery tile service (research use),t2_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,Cerro la Turquesa: lithology + structural grain,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P6 summit 740 m,T2 PIN MAP
T2-TGT,T2,30.048522,-115.236173,EPSG:4326,target,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",T2 target,2009,20,desk target pick cross-referenced to SGM sheet,Medium,reference point; turquoise-mining toponym at site,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,TARGET,T2 PIN MAP
T2-DETAIL-01,T2,30.0502,-115.2466,EPSG:4326,pale,Esri World Imagery tile service (research use),t2_mass_inset_z18,2024-26,20,detail-sheet re-plot of T2-OVERVIEW-01 at z18,Low,outcrop + chips,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P1 mass center,T2 DETAIL
T2-DETAIL-02,T2,30.049,-115.2428,EPSG:4326,pale,Esri World Imagery tile service (research use),t2_mass_inset_z18,2024-26,20,detail-sheet re-plot of T2-OVERVIEW-02 at z18,Low,alteration front,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P2 E edge,T2 DETAIL
T2-DETAIL-03,T2,30.0455,-115.2485,EPSG:4326,sed,Esri World Imagery tile service (research use),t2_mass_inset_z18,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment - fresh wall sample,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P5 gully mouth,T2 DETAIL
T2i-TGT,T2,30.048522,-115.236173,EPSG:4326,target,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",T2 target,2009,20,desk target pick cross-referenced to SGM sheet,Medium,reference point (off-sheet north of inset),CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,TARGET,T2 DETAIL
T3-2,T3,30.017216,-115.271919,EPSG:4326,out,Esri World Imagery tile service (research use),t3_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,Cerro la Palmita: outcrop map + grain,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P2 ridge high 808 m,T3 PIN MAP
T3-3,T3,30.022132,-115.293371,EPSG:4326,out,Esri World Imagery tile service (research use),t3_pins,2024-26,20,steepest-slope pick from 10 m working grid (SRTM ~30 m native),Medium,"857 m W - first bedrock, sample + structure",CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P3 steepest 36 deg,T3 PIN MAP
T3-4,T3,30.017932,-115.28543,EPSG:4326,sed,Esri World Imagery tile service (research use),t3_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P4 arroyo S,T3 PIN MAP
T3-5,T3,30.024154,-115.289239,EPSG:4326,sed,Esri World Imagery tile service (research use),t3_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P5 arroyo W,T3 PIN MAP
T3-6,T3,30.0305,-115.2745,EPSG:4326,out,Esri World Imagery tile service (research use),t3_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,road cut NE - free outcrops + any old works,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,P6 MEX 2 cut-bank,T3 PIN MAP
T3-TGT,T3,30.025725,-115.286885,EPSG:4326,target,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",T3 target,2009,20,desk target pick cross-referenced to SGM sheet,Medium,reference point; corridor ridge high ground,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,TARGET,T3 PIN MAP
A-1,ZA,30.067,-115.376,EPSG:4326,mine,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",El Cardonal sheet record,2009,500,"SGM inventory digitization; ~500 m accuracy from 1:50,000",Medium,TURQUOISE documented - walk N82E fault scarp; sample all blue-green,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A1 El Cardonal,ZONE A
A-2,ZA,30.07,-115.392,EPSG:4326,mine,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",La Prieta sheet record,2009,500,"SGM inventory digitization; ~500 m accuracy from 1:50,000",Medium,walk pit walls - fresh oxidized Cu surfaces,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A2 La Prieta pit,ZONE A
A-3,ZA,30.0675,-115.38,EPSG:4326,mine,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",Esperanza sheet record,2009,500,"SGM inventory digitization; ~500 m accuracy from 1:50,000",Medium,N65-75E vein convergence - trace trenches,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A3 Esperanza,ZONE A
A-4,ZA,30.0765,-115.3805,EPSG:4326,struct,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009) + Esri World Imagery tile service (research use)",zoneA_pins,2009,500,fault trace from SGM sheet redrawn on base layer,Low,map N82E scarp 1 km north,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A4 fault trace N,ZONE A
A-5,ZA,30.0605,-115.3795,EPSG:4326,struct,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009) + Esri World Imagery tile service (research use)",zoneA_pins,2009,500,fault trace from SGM sheet redrawn on base layer,Low,map scarp 1 km S toward corridor,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A5 fault trace S,ZONE A
A-6,ZA,30.0685,-115.3865,EPSG:4326,sed,Esri World Imagery tile service (research use),zoneA_pins,2024-26,20,desk pick on sub-meter base layer for field check,Medium,sediment pair,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,A6 arroyo,ZONE A
B-1,ZB,30.146,-115.375,EPSG:4326,mine,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",San Martin sheet record,2009,500,"SGM inventory digitization; ~500 m accuracy from 1:50,000",Medium,old drift/catas: sample wall chrysocolla/azurite,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,B1 San Martin,ZONE B
B-2,ZB,30.141,-115.378,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0),zoneB_pins,2020,30,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,survey for blue-green on eroded slopes,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,B2 S argillic slope,ZONE B
B-3,ZB,30.149,-115.37,EPSG:4326,sed,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0),zoneB_pins,2020,30,desk pick on sub-meter base layer for field check,Medium,sediment pair,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,B3 arroyo,ZONE B
C-1,ZC,30.071,-115.446,EPSG:4326,mine,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009)",La Turquesa sheet record,2009,500,"SGM inventory digitization; ~500 m accuracy from 1:50,000",Medium,zone type locality: survey for turquoise,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,C1 La Turquesa core,ZONE C
C-2,ZC,30.071,-115.391,EPSG:4326,pale,"SGM Carta Geologico-Minera El Aguajito H11-B85 1:50,000 (2009) + EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0)",zoneC_pins,2009,500,SGM alteration polygon cross-checked on S2 viewing composite,Low,massive argillic + Fe-oxide: gully walls,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,C2 El Hormiguero,ZONE C
C-3,ZC,30.062,-115.42,EPSG:4326,pale,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0),zoneC_pins,2020,30,RGB visual-screening heuristic pick (unvalidated; needs field + spectral validation),Low,fresh gully walls; chips,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,C3 argillic slope,ZONE C
C-4,ZC,30.075,-115.41,EPSG:4326,sed,EOX Sentinel-2 2020 cloudless viewing composite (CC BY-NC-SA 4.0),zoneC_pins,2020,30,desk pick on sub-meter base layer for field check,Medium,sediment pair,CC BY-NC-SA 4.0 (rendering); underlying imagery per provider terms,2026-08-25,3.0.0,C4 arroyo,ZONE C
